Dataset S4: The binding frequencies of human TF from JASPAR database with normal and tumor cells preferred TSS. ,,,
TF,cancer,normal,FDR
ASCL1,144,148,0.757745754
ATF3,2,5,0.451306121
ATF7,2,0,0.499447514
BHLHE22,28,3,6.14E-06
BHLHE41,3,3,1
CREB1,1,19,0.000894007
CREB3L4,18,26,0.200508903
CREM,6,7,1
CTCF,464,514,0.352179248
CTCFL,278,315,0.946247518
E2F6,356,412,0.384918772
E2F8,7,38,3.18E-06
EBF1,61,10,3.59E-09
EBF3,111,101,1
EGR1,551,716,0.04602547
EGR2,112,148,0.093551225
EGR3,273,348,0.134659651
EGR4,230,271,0.486089138
EHF,69,78,0.509893058
ELF1,91,98,0.8627104
ELF2,48,34,0.152439343
ELF3,79,99,0.292183333
ELF4,50,51,0.582547275
ELF5,12,1,0.003211377
ELK1,19,20,1
ELK1::SREBF2,13,10,0.51828175
ELK3,49,55,1
ELK4,83,90,1
ERF,30,33,1
ERF::FIGLA,19,22,0.743831932
ERF::FOXI1,4,25,8.13E-05
ERF::FOXO1,5,1,0.217194415
ERF::NHLH1,37,40,0.534119618
ERG,2,2,1
ETS1,17,16,1
ETS2,42,49,0.637848599
ETV1,64,86,0.137667973
ETV2::FIGLA,83,77,0.782829224
ETV2::FOXI1,1,5,0.217194415
ETV3,1,1,1
ETV4,33,51,0.216146784
ETV5,21,22,1
ETV5::FIGLA,84,94,0.588839644
ETV5::FOXO1,2,0,0.499447514
ETV5::HOXA2,1,0,1
ETV6,58,66,1
ETV7,70,64,0.692040783
EWSR1-FLI1,293,233,0.266050633
FERD3L,5,0,0.061810539
FEV,18,26,0.337666077
FIGLA,2,0,0.499447514
FLI1,1,4,0.37361649
FOS,1,1,1
FOS::JUN,6,5,1
FOSB::JUN,10,11,0.801863012
FOSL2,3,2,1
FOSL2::JUN,11,13,0.801863012
FOSL2::JUNB,1,0,1
FOSL2::JUND,19,27,0.565458499
FOXD2,1,0,1
FOXD3,1,3,0.624169894
FOXF2,2,0,0.499447514
FOXK1,1,0,1
FOXO1::ELF1,1,0,1
FOXO1::ELK1,1,2,1
FOXO1::ELK3,1,1,1
GABPA,68,87,0.311984022
GATA4,1,0,1
GLI2,84,93,0.658408791
GLI3,49,54,0.828416431
GLIS2,107,123,0.625125427
GLIS3,57,47,0.450038034
HES1,3,17,0.006981628
HIC2,38,25,0.044280173
HIF1A,1,1,1
HINFP,97,116,0.301601355
HNF1A,2,0,0.499447514
HNF1B,3,0,0.249171271
HNF4A,4,0,0.12417173
HNF4G,4,0,0.12417173
HSF1,1,0,1
HSF2,1,0,1
HSF4,1,0,1
IKZF1,23,25,1
INSM1,87,77,0.590860586
IRF1,9,1,0.038133807
IRF2,2,1,1
IRF3,1,0,1
IRF4,1,0,1
JDP2,5,0,0.061810539
JUN::JUNB,4,3,1
JUNB,4,3,1
JUND,8,2,0.286881058
KLF1,248,254,0.783630936
KLF10,256,275,0.131334255
KLF11,290,339,0.58948397
KLF12,221,257,0.0808461
KLF13,30,39,0.29603626
KLF14,252,254,0.451457764
KLF15,586,701,0.062101861
KLF16,385,421,0.143749903
KLF17,176,164,0.656856502
KLF2,346,394,0.78977569
KLF3,202,240,0.257450743
KLF4,484,528,0.841093914
KLF5,373,384,1
KLF6,209,273,0.144884518
KLF7,252,262,0.785255581
KLF9,413,481,0.739517244
MAX::MYC,1,0,1
MAZ,454,511,0.258029155
MLXIPL,3,0,0.249171271
MYB,1,1,1
MYC,9,12,0.821826476
MYCN,2,0,0.499447514
MYOD1,63,53,0.247505631
MYOG,6,8,0.788890814
MZF1,31,0,1.13E-09
NEUROD1,1,0,1
NEUROG2,9,0,0.003752663
NFIB,1,24,1.16E-06
NFIX,12,9,0.821826476
NFKB1,1,3,0.624169894
NFYA,21,39,0.062404466
NFYB,61,72,0.307139467
NFYC,19,24,0.743831932
NHLH1,12,8,0.498604235
NHLH2,61,8,1.17E-11
NKX2-3,4,0,0.12417173
NKX2-5,1,0,1
NKX2-8,4,0,0.12417173
NR1D1,1,0,1
NR1D2,1,0,1
NR1H4,1,0,1
